index,datetime,vh,vv,rvi
0,2021-11-04 22:45:36.411115,0.0046843393,0.010618007,0.67747843
0,2021-11-10 22:46:08.655270,0.00789399,0.00872699,1.3092421
0,2021-11-11 11:11:55.398152,0.004270186,0.01139988,0.5690153
0,2021-11-16 22:45:36.313857,0.0037227098,0.011042078,0.5064166
0,2021-11-22 22:46:08.483277,0.0065717297,0.015096608,0.66809946
0,2021-11-23 11:11:55.171527,0.0030372571,0.013258019,0.32187685
0,2021-11-28 22:45:35.799166,0.0047346232,0.013843124,0.5146341
0,2021-12-04 22:46:07.919581,0.0061669657,0.008865038,1.051095
0,2021-12-05 11:11:54.609425,0.003297835,0.0075422814,0.6712008
0,2021-12-10 22:45:35.316746,0.0048321616,0.012374208,0.59530324
0,2021-12-16 22:46:07.511215,0.009051407,0.054034673,0.21738711
0,2021-12-17 11:11:54.196354,0.007827168,0.058448784,0.16234279
0,2021-12-22 22:45:34.433936,0.00917856,0.08434622,0.122979224
0,2021-12-28 22:46:06.761481,0.0070100725,0.07761262,0.09537037
0,2021-12-29 11:11:53.438580,0.0038259127,0.053108476,0.06967879
0,2022-01-09 22:46:06.347730,0.014432803,0.23599657,0.055342406
0,2022-01-10 11:11:53.057355,0.010793487,0.16344056,0.06167414
0,2022-01-21 22:46:05.657153,0.024794227,0.15032616,0.2130987
0,2022-01-22 11:11:52.377922,0.014260766,0.17479038,0.08287152
0,2022-02-02 22:46:04.929540,0.01929509,0.03952269,0.75156623
0,2022-02-03 11:11:51.699083,0.022853306,0.036931477,0.9453606
0,2022-02-14 22:46:05.071585,0.022332123,0.0799958,0.4078155
0,2022-02-15 11:11:51.767747,0.022624357,0.050058555,0.69466573
0,2022-02-26 22:46:04.969244,0.023939293,0.08147137,0.4329125
0,2022-03-10 22:46:04.925705,0.020849586,0.080498554,0.3732351
0,2022-03-11 11:11:51.691272,0.016668648,0.04493491,0.56299156
0,2022-03-22 22:46:05.287764,0.06461835,0.2094595,0.45791295
0,2022-03-23 11:11:52.064532,0.059233326,0.117349505,0.7771171
0,2022-04-03 22:46:05.477503,0.016751444,0.03050518,0.844198
0,2022-04-04 11:11:52.234391,0.011596422,0.046444856,0.35722393
0,2022-04-15 22:46:05.644861,0.020769406,0.128589,0.20742048
0,2022-04-16 11:11:52.470632,0.0070129707,0.037480045,0.2503083
0,2022-04-27 22:46:06.296981,0.032705113,0.4246095,0.0764999
0,2022-04-28 11:11:53.135539,0.010535416,0.1930391,0.04709257
0,2022-05-09 22:46:06.912236,0.0472864,0.14943965,0.47138038
0,2022-05-10 11:11:53.723854,0.03569783,0.18198223,0.26564077
0,2022-05-21 22:46:07.705465,0.02653774,0.17830032,0.18652624
0,2022-05-22 11:11:54.509303,0.015528853,0.17506829,0.09302389
0,2022-06-02 22:46:08.840031,0.017213862,0.039103128,0.67595583
0,2022-06-03 11:11:55.667800,0.032125242,0.035707254,1.3036855
0,2022-06-14 22:46:09.386909,0.0344949,0.073010065,0.7270253
0,2022-06-15 11:11:56.125679,0.03454899,0.06909985,0.76977956
0,2022-06-26 22:46:10.363160,0.033170305,0.11470939,0.4249339
0,2022-06-27 11:11:57.147850,0.025281912,0.09068771,0.40715382
0,2022-07-08 22:46:10.959030,0.030590523,0.09818442,0.46311975
0,2022-07-09 11:11:57.770925,0.05919057,0.14080091,0.6440529
0,2022-07-21 11:11:58.504828,0.020089392,0.07385333,0.39556286
0,2022-08-01 22:46:12.528362,0.0118541345,0.10098461,0.13620009
0,2022-08-02 11:11:59.338449,0.007945376,0.08947845,0.093160965
0,2022-08-14 11:12:00.071377,0.00802041,0.082755245,0.105051145
0,2022-08-25 22:46:14.709082,0.038689755,0.37268275,0.11537217
0,2022-08-26 11:12:00.463421,0.028731663,0.19974135,0.17838109
1,2021-11-04 22:45:07.157260,0.0017275435,0.010253087,0.2190201
1,2021-11-10 22:46:08.655270,0.002972195,0.010504177,0.41430146
1,2021-11-11 11:11:55.398152,0.009602122,0.046565015,0.2827401
1,2021-11-16 22:45:07.059227,0.002819788,0.0073367255,0.58515066
1,2021-11-22 22:46:08.483277,0.0030213627,0.016561467,0.2424103
1,2021-11-23 11:11:55.171527,0.0076731415,0.02672568,0.42140967
1,2021-11-28 22:45:06.540090,0.0035017119,0.009994531,0.5286415
1,2021-12-04 22:46:07.919581,0.0027785385,0.008457063,0.4919151
1,2021-12-05 11:11:54.609425,0.008563754,0.036857583,0.32746616
1,2021-12-10 22:45:06.061320,0.003966958,0.0074400045,0.8203352
1,2021-12-16 22:46:07.511215,0.004062394,0.01849059,0.30579266
1,2021-12-17 11:11:54.196354,0.005392396,0.026745683,0.27491775
1,2021-12-22 22:45:05.181506,0.0028667476,0.033680268,0.08787519
1,2021-12-28 22:46:06.761481,0.0032444037,0.03803656,0.088132806
1,2021-12-29 11:11:53.438580,0.013320883,0.024946943,0.8215024
1,2022-01-09 22:46:06.347730,0.02611345,0.2219749,0.13659878
1,2022-01-10 11:11:53.057355,0.037551016,0.18693194,0.27366385
1,2022-01-21 22:46:05.657153,0.017504299,0.047765426,0.55553246
1,2022-01-22 11:11:52.377922,0.04431703,0.08208579,0.8303875
1,2022-02-02 22:46:04.929540,0.02261137,0.046851527,0.742884
1,2022-02-03 11:11:51.699083,0.021292014,0.09385799,0.3180454
1,2022-02-14 22:46:05.071585,0.008659214,0.025934238,0.5009413
1,2022-02-15 11:11:51.767747,0.028513115,0.06735407,0.6488167
1,2022-02-26 22:46:04.969244,0.032836013,0.10550816,0.46253473
1,2022-03-10 22:46:04.925705,0.01979557,0.08802144,0.31468865
1,2022-03-11 11:11:51.691272,0.029859897,0.060563393,0.7590529
1,2022-03-22 22:46:05.287764,0.04987981,0.09089656,0.84363115
1,2022-03-23 11:11:52.064532,0.051732104,0.1509225,0.5158999
1,2022-04-03 22:46:05.477503,0.036532532,0.09595193,0.5792049
1,2022-04-04 11:11:52.234391,0.05278936,0.13051437,0.618191
1,2022-04-15 22:46:05.644861,0.010471327,0.09126854,0.13207659
1,2022-04-16 11:11:52.470632,0.014009288,0.18529522,0.07454326
1,2022-04-27 22:46:06.296981,0.004723318,0.10880723,0.03394389
1,2022-04-28 11:11:53.135539,0.011500495,0.06670618,0.22556362
1,2022-05-09 22:46:06.912236,0.039045725,0.28475788,0.1674934
1,2022-05-10 11:11:53.723854,0.033515893,0.28219253,0.13835885
1,2022-05-21 22:46:07.705465,0.030746525,0.14263186,0.29871815
1,2022-05-22 11:11:54.509303,0.036129855,0.11881907,0.45037732
1,2022-06-02 22:46:08.840031,0.027965387,0.045569636,0.9381016
1,2022-06-03 11:11:55.667800,0.040699534,0.15132603,0.3903063
