ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7247.868663282213
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,5932.353160067
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,5951.178327644755
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,7000.827063893041
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,5876.709980610591
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,7128.301336752224
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,5939.450322874761
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,5997.5628849128025
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7284.579519350974
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7016.470273937138
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,6179.328669450973
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,6145.409187262075
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,5983.297412234978
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,6025.086425280759
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,5928.286476792109
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7287.124878433368
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,6005.330836925587
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,6056.419468877312
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,5863.75810998726
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,7282.467557878362
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7094.640035319309
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,5970.435178447719
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,7149.979721294517
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,5902.685838430588
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7244.509655470738
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,7163.42310075169
27,Chau_Phu,10.594603,105.175686,WS,D,12-04-2022,2.2,7174.902808462037
28,Chau_Phu,10.514912,105.216308,SA,D,14-07-2022,2.0,5999.4235446026105
29,Thoai_Son,10.293434,105.256309,SA,T,20-07-2022,2.3,5912.089555006918
30,Chau_Phu,10.48194,105.151543,SA,D,14-07-2022,2.9,5968.687047369729
31,Thoai_Son,10.238171,105.198793,SA,T,20-07-2022,3.6,5848.892508231861
32,Thoai_Son,10.326776,105.33819,SA,T,20-07-2022,1.7,5982.919697830806
33,Chau_Thanh,10.421158,105.237197,WS,T,27-03-2022,1.76,7229.9697624878545
34,Chau_Thanh,10.369692,105.29684,WS,T,10-04-2022,4.0,7197.212444499031
35,Chau_Phu,10.473786,105.190479,WS,T,03-04-2022,1.7,7212.15103267707
36,Thoai_Son,10.365734,105.267634,WS,T,12-04-2022,2.5,7304.41812186671
37,Thoai_Son,10.281814,105.114918,SA,T,25-07-2022,5.0,5910.55075515569
38,Chau_Thanh,10.411649,105.370659,SA,T,15-07-2022,1.43,5940.835042192024
39,Chau_Phu,10.477062,105.168941,WS,D,03-04-2022,3.4,7079.405526361292
40,Chau_Thanh,10.437524,105.202166,SA,D,20-07-2022,2.31,6021.579874925766
41,Chau_Thanh,10.414613,105.125615,WS,T,27-03-2022,3.85,7242.530775368746
42,Thoai_Son,10.28697,105.341571,SA,T,20-07-2022,1.78,5933.678494597575
43,Chau_Phu,10.64394,105.165296,SA,T,05-08-2022,1.4,5875.682205064325
