ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7156.656556411289
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,6035.801379995957
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,6272.4605157422275
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,7084.628396628784
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,6083.715549821322
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,7080.918807169683
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,6024.320965241494
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,6068.330792839772
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7118.678204037587
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7104.117258169303
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,6272.942496714983
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,6195.691473766442
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,6054.98483738306
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,6076.14777077812
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,6324.725320849093
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7175.0052424728865
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,6098.14708470484
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,6148.284072744206
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,5988.200292290822
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,7098.967416975778
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7172.434885124937
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,6078.267865004566
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,7181.57013205103
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,6172.762236612843
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7137.183964388079
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,7186.877809439707
27,Chau_Phu,10.594603,105.175686,WS,D,12-04-2022,2.2,7096.686478943362
28,Chau_Phu,10.514912,105.216308,SA,D,14-07-2022,2.0,6179.416918842492
