ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7135.9927
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,5884.783
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,5997.492
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,6803.3433
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,5922.58
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,6762.5806
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,5957.3706
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,6550.505
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7261.1084
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7280.1406
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,7229.913
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,5995.0938
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,5913.874
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,5989.4526
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,7160.7046
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7186.3213
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,5895.8228
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,5977.4385
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,5893.4463
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,6880.403
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7165.8203
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,5891.2603
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,7186.44
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,5968.819
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7064.291
