ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,6701.358
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,5842.2397
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,6154.9053
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,6588.9243
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,5623.6743
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,6834.7197
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,5909.3696
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,6824.7705
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7327.307
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7799.8486
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,7293.3257
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,6224.3
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,6282.0454
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,6203.1074
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,6634.401
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7092.583
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,5969.584
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,5692.681
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,5917.6626
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,7893.3647
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7227.9507
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,5418.964
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,6961.6455
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,5967.034
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7152.9
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,7550.8345
27,Chau_Phu,10.594603,105.175686,WS,D,12-04-2022,2.2,7302.7017
28,Chau_Phu,10.514912,105.216308,SA,D,14-07-2022,2.0,6358.964
29,Thoai_Son,10.293434,105.256309,SA,T,20-07-2022,2.3,5740.9243
30,Chau_Phu,10.48194,105.151543,SA,D,14-07-2022,2.9,6489.726
31,Thoai_Son,10.238171,105.198793,SA,T,20-07-2022,3.6,5595.791
32,Thoai_Son,10.326776,105.33819,SA,T,20-07-2022,1.7,5821.718
33,Chau_Thanh,10.421158,105.237197,WS,T,27-03-2022,1.76,7567.125
34,Chau_Thanh,10.369692,105.29684,WS,T,10-04-2022,4.0,6674.7393
35,Chau_Phu,10.473786,105.190479,WS,T,03-04-2022,1.7,7478.2017
36,Thoai_Son,10.365734,105.267634,WS,T,12-04-2022,2.5,6642.672
37,Thoai_Son,10.281814,105.114918,SA,T,25-07-2022,5.0,6015.661
38,Chau_Thanh,10.411649,105.370659,SA,T,15-07-2022,1.43,5957.0005
39,Chau_Phu,10.477062,105.168941,WS,D,03-04-2022,3.4,6304.5073
40,Chau_Thanh,10.437524,105.202166,SA,D,20-07-2022,2.31,6289.6494
41,Chau_Thanh,10.414613,105.125615,WS,T,27-03-2022,3.85,6785.5806
42,Thoai_Son,10.28697,105.341571,SA,T,20-07-2022,1.78,5728.8794
43,Chau_Phu,10.64394,105.165296,SA,T,05-08-2022,1.4,5912.5283
44,Chau_Thanh,10.420981,105.295797,WS,T,25-03-2022,1.76,7548.0806
45,Thoai_Son,10.340626,105.172116,SA,T,23-07-2022,3.0,5779.4927
46,Chau_Phu,10.625193,105.181059,SA,D,09-08-2022,3.0,6112.7197
47,Chau_Phu,10.479304,105.102943,SA,D,20-07-2022,2.9,5954.5557
48,Chau_Thanh,10.392899,105.188514,WS,T,24-03-2022,1.43,7427.2266
49,Chau_Thanh,10.426536,105.115181,SA,T,14-07-2022,1.43,6112.3525
50,Chau_Phu,10.552114,105.091399,SA,D,05-08-2022,3.6,6381.3613
51,Chau_Phu,10.541934,105.247538,WS,T,10-04-2022,2.0,7404.202
52,Thoai_Son,10.303437,105.381252,WS,T,28-03-2022,2.1,7223.0444
53,Thoai_Son,10.368837,105.205763,SA,T,21-07-2022,2.3,5396.671
54,Chau_Thanh,10.440557,105.250671,WS,T,27-03-2022,1.76,7137.1577
55,Chau_Thanh,10.430707,105.315671,SA,T,10-07-2022,1.54,6697.8345
56,Chau_Thanh,10.378696,105.309113,WS,T,27-03-2022,1.32,7388.2124
57,Thoai_Son,10.283467,105.267082,WS,T,20-04-2022,2.2,7204.4727
58,Chau_Thanh,10.436907,105.236241,WS,T,27-03-2022,1.375,7574.4976
59,Chau_Thanh,10.387619,105.243467,SA,T,19-07-2022,1.3,5841.0674
60,Chau_Phu,10.482003,105.203866,SA,T,15-07-2022,3.0,6452.1826
61,Chau_Phu,10.545098,105.112895,SA,D,20-07-2022,3.6,5785.486
62,Thoai_Son,10.279477,105.288145,WS,T,10-04-2022,2.0,6989.2437
